,article_id,text,label
28,28,刺激您的身體和維生素a 或β胡蘿蔔素，有助於維持在暗處的視覺，增進皮膚與黏膜的健康，幫助牙齒和骨骼的發育與生長。,0
29,29,每天都來點維生素d，增進鈣吸收，幫助骨骼與牙齒的生長發育，促進釋放骨鈣，以維持血鈣平衡，有助於維持神經、肌肉的正常生理。,0
30,30,維生素E，減少不飽和脂肪酸的氧化，有助於維持細胞膜的完整性，具抗氧化作用，增進皮膚與血球的健康，有助於減少自由基的產生。,0
31,31,維生素K，有助血液正常的凝固功能，促進骨質的鈣化，活化肝臟與血液中的凝血蛋白質。,0
32,32,維生素C，促進膠原蛋白的形成，有助於傷口癒合，有助於維持細胞排列的緊密性，增進體內結締組織、骨骼及牙齒的生長，促進鐵的吸收，具抗氧化作用。,0
33,33,維生素B1，有助於維持能量正常代謝，幫助維持皮膚、心臟及神經系統的正常功能，有助於維持正常的食慾。,0
34,34,維生素B2，有助於維持能量正常代謝，有助於維持皮膚的健康。,0
35,35,菸鹼素，有助於維持能量正常代謝，增進皮膚、神經系統、黏膜及消化系統的健康。,0
36,36,維生素B6，有助於維持胺基酸正常代謝，有助於紅血球中紫質的形成，幫助色胺酸轉變成菸鹼素，有助於紅血球維持正常型態，增進神經系統的健康。,0
37,37,葉酸，有助於紅血球的形成，有助於核酸與核蛋白的形成，有助胎兒的正常發育與生長。,0
38,38,維生素B12，有助於紅血球的形成，增進神經系統的健康。,0
39,39,生物素，有助於維持能量與胺基酸的正常代謝，有助於脂肪與肝醣的合成，有助於嘌呤的合成，增進皮膚和黏膜的健康。,0
40,40,泛酸，有助於維持能量正常代謝，增進皮膚和黏膜的健康，有助於體脂肪、膽固醇的合成及胺基酸的代謝。,0
41,41,鈣，有助於維持骨骼與牙齒的正常發育及健康，幫助血液正常的凝固功能，有助於肌肉與心臟的正常收縮及神經的感應性，活化凝血?元轉變為凝血?，幫助血液凝固，調控細胞的通透性。,0
42,42,鐵，有助於正常紅血球的形成，構成血紅素與肌紅素的重要成分，有助於氧氣的輸送與利用。,0
43,43,碘，合成甲狀腺激素的主要成分，有助於維持正常生長、發育、神經肌肉的功能，調節細胞的氧化作用，有助於維持甲狀腺激素的正常分泌，有助於維持正常基礎代謝。,0
44,44,鎂，有助於骨骼與牙齒的正常發育，有助於維持醣類的正常代謝，有助於心臟、肌肉及神經的正常功能，有助於身體正常代謝。,0
45,45,鋅，為胰島素及多種酵素的成分，有助於維持能量、醣類、蛋白質與核酸的正常代謝，增進皮膚健康，有助於維持正常味覺與食慾，有助於維持生長發育與生殖機能，有助於皮膚組織蛋白質的合成。,0
46,46,鉻，有助於維持醣類正常代謝。,0
47,47,蛋白質，人體細胞、組織、器官的主要構成物質，幫助生長發育，有助於組織的修復，為肌肉合成的來源之一，可用於肌肉生長。,0
48,48,膳食纖維，可促進腸道蠕動，增加飽足感，使糞便比較柔軟而易於排出，膳食中有適量的膳食纖維時，可增加糞便量。,0
49,49,對長期便秘、下痢等慢性病有不錯的效果。,1
50,50,改善排便異常。,1
51,51,一年四季預防傷風感冒的聖品。,1
52,52,對於容易感冒，有很好的效果。,1
53,53,消化不良。,1
54,54,可防癌、抵抗病菌侵襲。,1
55,55,改善過敏症。,1
56,56,德國黑森林活細胞療法，取代過去注射療程的方法。,1
57,57,預防高血壓，預防大腸癌，預防文明病、慢性病，預防便秘、血痔瘡，可降低血中膽固醇。,1
58,58,洗腎病患、白血球過少症。,1
59,59,排除致病毒物。,1
60,60,壯陽、偽藥。,1
61,61,改善性功能。,1
62,62,有強肝解毒成份、清除致病毒素。,1
63,63,改善腹瀉、抑制腸病毒、預防大腸癌。,1
64,64,具有調理女性生理期、改善貧血及身體血路之效果。,1
65,65,媽媽調血氣、更年期障礙的媽媽、老媽病痛何其多，擺脫各種慢性疾病威脅。,1
66,66,預防老人痴呆。,1
67,67,預防及改善心血管疾病。,1
68,68,具有消毒、殺菌的作用！天然消炎抗菌抗氧化。,1
69,69,能深入細胞清潔血液，對抗自由基因。,1
70,70,魚油，是心臟血管循環，眼睛保護，保持血管彈性，減低血小板凝聚，暢通血管。,1
71,71,抗老化控制體重，清除體內毒素，清除腸道廢物，活絡血液循環，減少脂肪。,1
72,72,魚肝油，具有消炎作用，可降低氣喘病人對外界過敏源發作反應。,1
73,73,維他命C，增強抵抗力。,1
74,74,具有強大殺菌力，類黃酮具有抗過敏作用及鎮痛止血消炎等作用。,1
75,75,冬蟲夏草，益肺補腎、止血化痰。,1
76,76,茄紅素500mg，是最強大的天然抗氧化成分。,1
77,77,適用對象，慢性病患，癌症病患，視力不佳者，葉黃素，.視力保健最有效成分。,1
78,78,冬蟲夏草，主要運用在治療人體肺臟和腎臟，治療氣喘、慢性支氣管炎，是一理想又溫補的食療品。,1
79,79,增進性組織系統功能，更持久，提高神經系統興奮，讓您更容易達到高潮的顛峰狀態，促進血液循環，改善自決勃起，增加硬度及勃起時間，不純粹只是壯陽還有刺激情慾的特性。,1
80,80,食用後四十至六十分鐘效果絕對令人驚訝。,1
81,81,降低血液尿酸含量、幫助減低便秘情形。,1
82,82,防止糖尿病。,1
83,83,有很滿意的效果，效果絕佳。,1
84,84,抗不孕。,1
85,85,溶解慢性病，鬆鬆你的痛。,1
86,86,最適合下述人士飲用，擔心血壓過高、膽固醇過高，糖尿病患者，腸胃消化機能不佳或經常便秘或腹瀉，擔心身材發福或膽固醇過高，大魚大肉後膽固醇過高，尿酸過高、痛風患者7.經常抽煙、喝酒過量。,1
87,87,潤肺補血養肝、提神醒腦開胃利尿。,1
88,88,β-胡蘿蔔素具有解毒作用，而且在抗癌預防心血管疾病具有顯著的功能。,1
89,89,減低血液尿酸含量、幫助減低便秘情況。,1
90,90,中藥用途：根部、果實可為藥用。溫中燥濕、健胃、怯風通絡、治風寒感冒、活血散淤、跌打損傷、解毒殺蟲、消腫止痛、滋陰補陽又顧肝。,1
91,91,魚油根據醫學報導指出可治憂鬱症、延緩老年癡呆。,1
92,92,服用幾個月後，改善,1
93,93,"抗菌乾洗手凝露，為有效對抗冠
狀病毒的活性成分，有效對抗新冠病毒（武漢肺炎），綠膿桿菌 金黃色葡萄球菌 大腸桿
菌，在日本常添加於漱口水以滲透去除牙周病菌，能有效阻隔多種細菌、酵母菌、真菌
及病毒，殺菌，消毒，",1
94,94,"克米龍滅病毒醫用口罩，克米龍口罩 是唯一可殲滅99%的#H1N1#H3N2
病毒#肺炎桿菌的口罩與一般強調 很會過濾 的口罩設計不同，唯有克米龍滅病毒口罩採
用直接消滅病毒和細菌的設計 不讓病毒和細菌存活在口罩上 完全不同於只能過濾的口罩
，我們的滅病毒能力擁有ISO18184國際認證，世界上目前僅兩個國家德國和日本有此等
級實驗室，比殺細菌更厲害，抗流感病毒測試，抗H1N1、H3N2流感病毒＞99%",1
95,95,"能鍺褲，愛穿四角褲的男性，其精子品質不僅比愛穿三角褲的男性好，精蟲濃度高，精蟲
數多，精蟲活動力更高出，銀離子有除臭，殺菌及消除靜電功效，鍺對人體的好處，提升免
疫力，消除疲勞，預防心血管疾病，(口述)，我有攝護腺問題，改善頻尿，攝護腺癌，睪丸
癌",1
96,96,愛戀羞羞 Foellie 香氛（私密處專用），減少有害細菌，預防搔癢不適，異常分泌及發炎症的人，去除細菌並預防陰道炎，發炎時的照顧方式，生理期異味拜拜，去除細菌預防陰道炎，抑菌效果，使用Inner Beauty私密處香水時可去除細菌並預防陰道炎,1
97,97,【旺旺水神】 抗菌液隨身瓶30ml、【旺旺水神】抗菌液500ml居家瓶、【旺旺水神】抗菌液2L桶裝水、【旺旺集團】水神抗菌液5L，口腔抗菌...(圓圈圖 )綠膿桿菌 (燒傷或傷口引起皮膚炎、肺炎、心內膜炎、敗血症、壞死筋膜炎 ) 白色念珠菌 (口腔念珠菌病、女性陰道炎 ) 肺炎桿菌 (糖尿病感染化膿性肝膿瘍、嚴重引發肺炎、尿路感染、菌血症 ) 突變型鏈球菌 (蛀牙 ) 牙齦??單胞菌 (牙周病導致牙齒脫落 ) 絮狀表皮癬菌 (香港腳、體癬、灰指甲、股癬 ) 腸病毒 (手、足、口周圍出現皰疹，好發於幼童 )，(表格 )常見症狀，腸病毒 71型 (手足口病，手、足、口周圍出現皰疹，好發於幼童 ) 肺炎桿菌 (糖尿病病人易感染化膿性肝膿瘍，嚴重引發肺炎、尿路感染、菌血症 ) 綠膿桿菌 (燒傷或傷口引起皮膚炎、肺炎、心內膜炎、敗血症、壞死筋膜炎 ) 白色念珠菌 (口腔念珠菌病、女性陰道炎 ) 絮狀表皮癬菌 (香港腳、灰指甲、體癬、股癬 ) 牙齦??單胞菌 (牙周病導致牙齒脫落 ) 突變型鏈球菌 (蛀牙 ) 糞便性鏈球菌 (直接感染會引發菌血症、心內膜炎、腦膜炎 ) 大腸 桿菌 (腸道出血性大腸桿菌感染症，腹瀉可能由輕微的出血到血便現象 ) 金黃色葡萄球菌 (一般常見症狀為食物中毒，傷口感染後引發化膿性炎症 ) 耐性金黃色葡萄球菌 (與金黃色葡萄球菌相同的症狀，因具有抗藥性稱為超級細菌 ) 李斯特菌 (以食物感染為主，症狀為食物中毒、敗血症、腦膜炎，嚴重有死亡風險 ) 乙型溶血性鏈球菌 (皮膚發炎、咽喉炎 ) 蠟樣芽孢桿菌(食物中毒 ) 福氏志賀氏菌 (細菌性痢疾，症狀為出血性腹瀉 ) 鼠傷寒沙門氏菌 (引發傷寒及副傷寒，症狀為發燒、頭痛、不適、厭食、腹痛，嚴重造成小腸出血或穿孔 ) 黏質沙雷氏菌 (菌血 症、內毒素休克、心內膜炎 ) 副溶血性弧菌 (食物中毒，嚴重可致死 ) 淋病雙球菌 (淋病、尿道炎 ) 枯草芽孢桿菌(易使食物腐敗，導致腹瀉 ) 巴西麴菌 (黑黴菌)(一般情況下麴黴並不致病與感染，抵抗力低時可能感染造成發炎、組織壞死 ) 肺結核桿菌 (感染後引發肺結核或肺外結核，症狀有咳嗽、胸痛、發燒、咳血等 ) 肺炎鏈球菌 (侵襲性肺炎鏈球菌感染症，症狀有咳嗽、氣喘、胸痛等症狀 ) 流感嗜血感桿菌(感染初期經常被誤認為普通感冒，可能引發菌血病症及急性細菌性腦膜炎等重症 ) 脊椎灰質炎病毒 Ⅰ型 (小兒麻痺(脊髓灰質炎 )肌肉萎縮症 、 四 肢無力 感覺疼痛和疲勞 ),1
98,98,個人保鏢滅菌 50ml，有效對抗細菌及病毒 如腸病毒、諾羅病毒等常見病毒，阻擋致病…殺滅細菌，常見運用範圍包含：，寶寶，等多種用途，99.99%的滅菌力，流感病毒…食器消毒(可再用清水沖過),1
99,99,BIOEQUA脈衝冷離子拉皮機，脈衝冷離子技術，每秒1000萬束脈衝冷離子導入，隔空修復非侵入式，無痛脈衝冷離子直達肌膚深層，廢物OUT，營養IN，代謝循環順暢，強化膠原彈力，無痛拉皮+緊實，眼袋、黑眼圈也能用，隔空無痛速效 30倍緊緻拉提膠原彈力up 89%，毛孔縮小，只要一分鐘恢復膠原彈力無痛副作用無紅腫痛脹無恢復期，燒燙傷中心保養專用修復重組新生無創安全又速效(佐以與醫美療程比較)，冷離子活膚拉皮科技，1分鐘速效脈衝，改善肌膚，抬頭紋眉心紋法令紋魚尾紋，眼袋嘴角細紋淚溝，胸部拉提，先塗抹BIOEQUA前導液在要治療的部位，啟動電離子:細胞通道打開，送達細胞，導入到筋膜層深處並活絡基底,1
100,100,腳底去角質機、美腿導正分趾套，治香港腳，(內嵌影片)矯正一個月後，矯正套，本來有X型腿 也好了，美腿導正分趾套，腿部重心偏移形成腿部彎曲的情況，腳趾受重力擠壓扁平，進而導致走路歪歪扭扭的狀況，身體自然不歪斜,1
101,101,德恩奈深層潔淨漱口水，2019新型冠狀病毒（武漢肺炎），抑制牙結石形成及降低牙齦發炎機率，用於口腔黏膜潰瘍治療,1
102,102,【UMM】乾洗手-500ml 4入組(SGS認證/抑菌/除臭)，流感，大腸桿，白色念珠，空氣傳播細菌容易透過身邊的空氣傳播容易引發流感及其它嚴重病菌!，皮膚感染細菌侵入皮膚可能會引發搔癢!，抑菌，恐怖病毒接踵而來 UMM陪你一起度過難關，安全無化學，抑菌率達99.9%,1
103,103,美國Theragun G3PRO 深層肌肉舒緩震動 按摩槍，美國Theragun G3PRO物理治療，肌肉及關節舒緩槍，最快15分鐘立刻舒緩肌肉痛楚，療程，慢性疼痛在大約50Hz的頻率下會深度刺激大腦可以產生止痛效果，而且神經系統會自動的忽略較低頻率而注意更高的頻率，因此震動信號比身體疼痛的信號更快的傳給大腦。這種高頻率的震動就像是改寫了疼痛信號，因此疼痛感大大的減少了，震動信號比身體疼痛信號更快傳給大腦，身體亦會自然消失了疼痛感，此時再經按摩槍的捶打，就可達到緩解肌肉痙攣，?加血流量，減少乳酸分泌，提高淋巴回流，舒緩疼痛等效果並迅速恢復,1
104,104,SLOO護脊久坐減壓骨盆舒浮褲，酸痛的救星，減緩姿勢不良，預防腰臀部不適，久坐是種新癌症，現代醫學報告指出 久坐三小時以上 就會有健康上的危害，久坐罹患糖尿病 死於心臟病以及死亡機率都比一般數據來的高，穿著專利設計的舒浮褲可以減低我們的運動傷害的機率產生，久坐對人的身體會造成 非常多與各種層次的傷害 從你的下腰與肩頸脖子疼痛以外，心臟健康也會造成影響 會造成得到心臟疾病的風險會升高,1
105,105,神之水雙人共用氫氣生成鴛鴦機 、神之水可攜式氫氣生成機、微米氣泡氫水機，氫氣具有治療疾病的作用，氧化壓力的主流觀點認為，大部分與老化有關的健康問題，如皺紋、心臟病和阿茲海默病，都與體內氧化壓力過大有關，他們往往提早死於各種疾病，其中很大一部分是自由基引發的，過多的『壞』自由基對人體進行氧化的傷害，『壞』自由基-台灣十大死亡病因的相關，自由基對人體造成許多傷害，最明顯的就是慢性疾病，包括癌症中風、心臟病、糖尿病、關節炎、痛風、白內障、老人癡呆、免疫系統失調、神經萎縮、性功能衰退，氫分子預防肝病及B型肝炎，改善肝功能，減輕酒精誘導的大鼠慢性肝損傷，氫分子可舒緩糖尿病/腎臟病，氫水具有舒緩代謝綜合症（包括肥胖、高血壓及高血脂）的效能，氫分子預防心血管疾病，氫分子預防腦傷，氫分子預防腦部慢性病，氫分子預防失智症，氫分子預防及舒緩癌症、惡性腫瘤及治療中的不適，氫能消除自由基，啟動身體自癒力，造成各式疾病，氫氣可以直接消除人體過多的壞自由基，使身體逐漸重回健康，每天喝好水遠離慢性疾病，過多的『壞』自由基對人體進行氧化傷害,1
106,106,睡美能醫療級能量光波保命睡衣、睡美能逆齡修護光子科技舒眠睡衣、睡美能一級醫材一氧化氮好睡保命睡衣，解憂鬱，全台一年吞掉9億顆安眠藥，台灣人壓力大，失眠率世界第二，全台400萬人失眠，台灣每五人就有一人有睡眠障礙，全台近百萬育齡婦女失眠，(來賓口述)穿的安眠藥，(來賓口述)一氧化氮已經證實是可以改善很多人體的生理機能，包括免疫系統，包括循環系統，包括心血管，..包括你的自律神經，你的睡眠、你的身體的很多機能都會得到改善，運用遠紅外線產生體內的一氧化氮，就相當於一種光療，就可以改善你種種的身體的疾病，比如說我們的疾病裡面，十大死亡原因裡面的癌症，裡面的心血管疾病，裡面的糖尿病、高血壓、心臟病、感染性肺炎，只有經由一氧化氮直接去改善你的生理機能，才能夠達到防治這些疾病，避免發生的效果，一氧化氮，可改善心血管、神經、皮膚和免疫系統，NO RAY可以增進睡眠品質 並且可以改善心血管、神經和免疫力等問題 穩定神經系統，增加記憶力，預防失智，濫用藥物，睡眠障礙，心悸、熱潮紅、眩暈、全身痠痛、情緒低落、焦躁、陰道感染、睡眠品質差，更年期症候，子宮肌瘤，雙相情緒障礙症，(來賓口述)所以我現在不吃囉，不吃這些安眠藥囉,1
107,107,鈦澤黃金萬用享受帶，調整骨骼，矯正脊椎與骨盆，使周圍的肌肉達到平衡,1
108,108,herbally冷噴精油震盪擴香儀，（來賓口述）對抗氣喘、對抗慢性病，（主持人口述）殺菌，氣喘，焦慮、憂鬱，（來賓口述）慢性病的氣喘患者，嚴重到會有哮喘聲，很容易卡老痰，呼吸很困難的，呼吸很順暢之外，中樞神經被刺激到馬上就通，恐慌症，（主持人口述）可以停藥了，停止再看醫生，停止再吃這個藥，治療呼吸道症狀，感冒和過敏可導致身體過多產生黏液和痰疢，導致氣管堵塞與發炎，改善鼻塞，（主持人口述）療效，對症下藥，舒緩肌肉疼痛，關節炎，（主持人口述）抗菌、抗病毒，香港腳，治療皮膚感染，對皮膚燙傷有明顯功效，預防細菌滋生和蓄膿，改善化膿、皰疹，割傷、傷口、潰瘍與發炎症狀，消滅細菌（來賓口述）呼吸道、慢性疾病，鼻塞、鼻水、過敏性鼻炎、鼻咽炎、鼻竇炎，慢性支氣管炎、細支氣管擴張、支氣管纖維化，咳嗽、黏膜腺增生、氣喘、黏液增生、支氣管黏膜過度分泌，胸悶 肺氣腫 肺部黏液多 肺泡沾黏，喉嚨發炎，過敏，肺炎及癌症，有效吸附並排除汙染（毒素、病毒），流感，各種炎症的理療價值,1
109,109,"黃金能量內褲(鈦澤黃金能量內褲)、黃金能量享瘦帶(鈦澤黃金能量享瘦帶/黃金萬用享受帶)、黃金護膝(黃金舒活護膝)、毯被(黃金格紋雙人毯)、眼罩（""鈦澤黃金"" 醫療用眼罩 (未滅菌)〔衛部醫器製壹字第006648號〕）、襪子（""鈦澤""醫用輔助襪 (未滅菌)〔衛部醫器製壹字第006682號〕）、能量衣（""鈦澤"" 醫療用衣物 (未滅菌)〔衛部醫器製壹字第006685號，對攝護腺，膀胱，腎臟，有很好的功能，生育，男性性功能障礙，用穿的威爾鋼，直接改善你的男性的性功能部分，攝護腺肥大，大腸癌直腸癌，比較不容易會有痔瘡的產生",1
